incident_id,doc_id,title,content,relevance_score,owning_team
INC001,CONF001,Rabbitmq Troubleshooting Guide,"Monitor health, check for CPU, review parameters settings",0.71,devops-team
INC001,CONF002,Load-Balancer Disaster Recovery,status uses memory that can be intensive. Monitor parameters and consider pagination for large batches,0.81,observability-team
INC002,CONF003,Payment Configuration Guide,status uses disk that can be intensive. Monitor parameters and consider pagination for large batches,0.73,platform-team
INC002,CONF004,Session Service Runbook,"For health issues, first check the CPU dashboard",0.87,payments-team
INC003,CONF005,User SLA Requirements,"Monitor logs, check for memory, review settings settings",0.83,api-team
INC003,CONF006,Cache Configuration Guide,"For configuration issues, first check the memory dashboard",0.94,search-team
INC004,CONF007,Rate-Limiter Configuration Guide,logs uses CPU that can be intensive. Monitor settings and consider pagination for large batches,0.81,api-team
INC005,CONF008,Read-Replica Disaster Recovery,"Monitor configuration, check for disk, review parameters settings",0.86,search-team
INC005,CONF009,User Service Runbook,logs uses disk that can be intensive. Monitor limits and consider pagination for large batches,0.74,api-team
INC006,CONF010,Api-Gateway Operations Guide,For logs: 1. Check memory status 2. Verify limits 3. Review logs,0.85,security-team
INC006,CONF011,Fulfillment Monitoring Setup,"Monitor status, check for disk, review parameters settings",0.71,identity-team
INC007,CONF012,Rabbitmq Operations Guide,"For health issues, first check the disk dashboard",0.77,dba-team
INC008,CONF013,Email Operations Guide,health uses CPU that can be intensive. Monitor parameters and consider pagination for large batches,0.7,devops-team
INC009,CONF014,Container-Registry Incident Response,For status: 1. Check disk status 2. Verify parameters 3. Review logs,0.72,infra-team
INC010,CONF015,Cdn SLA Requirements,For status: 1. Check disk status 2. Verify limits 3. Review logs,0.93,security-team
INC010,CONF016,Logging Performance Tuning,Steps: 1. Check status 2. Verify memory 3. Review recent changes,0.95,platform-team
INC011,CONF017,Order Incident Response,"For configuration issues, first check the disk dashboard",0.96,search-team
INC011,CONF018,Payment Service Runbook,"For health issues, first check the network dashboard",0.9,ops-team
INC012,CONF019,Kubernetes Monitoring Setup,For configuration: 1. Check network status 2. Verify parameters 3. Review logs,0.76,api-team
INC012,CONF020,Checkout Operations Guide,"Monitor logs, check for disk, review settings settings",0.7,platform-team
INC013,CONF021,Database SLA Requirements,For status: 1. Check disk status 2. Verify limits 3. Review logs,0.86,api-team
INC014,CONF022,Notification Troubleshooting Guide,"Monitor health, check for memory, review limits settings",0.81,search-team
INC015,CONF023,Rabbitmq Performance Tuning,For configuration: 1. Check disk status 2. Verify limits 3. Review logs,0.94,identity-team
INC016,CONF024,Ci-Cd Disaster Recovery,For logs: 1. Check disk status 2. Verify settings 3. Review logs,0.89,ops-team
INC016,CONF025,Frontend Troubleshooting Guide,Steps: 1. Check health 2. Verify disk 3. Review recent changes,0.94,payments-team
INC017,CONF026,Rate-Limiter Operations Guide,"For status issues, first check the disk dashboard",0.96,observability-team
INC018,CONF027,Api-Gateway Disaster Recovery,configuration uses CPU that can be intensive. Monitor settings and consider pagination for large batches,0.8,search-team
INC018,CONF028,Api-Gateway Incident Response,status uses disk that can be intensive. Monitor parameters and consider pagination for large batches,0.75,dba-team
INC019,CONF029,Database SLA Requirements,configuration uses network that can be intensive. Monitor limits and consider pagination for large batches,0.78,security-team
INC020,CONF030,Frontend Monitoring Setup,health uses memory that can be intensive. Monitor parameters and consider pagination for large batches,0.9,observability-team
INC020,CONF031,Session Incident Response,Steps: 1. Check configuration 2. Verify memory 3. Review recent changes,0.83,api-team
INC021,CONF032,Cache Service Runbook,Steps: 1. Check logs 2. Verify memory 3. Review recent changes,0.75,identity-team
INC022,CONF033,Checkout Disaster Recovery,Steps: 1. Check status 2. Verify memory 3. Review recent changes,0.89,search-team
INC022,CONF034,Kubernetes Disaster Recovery,For status: 1. Check network status 2. Verify parameters 3. Review logs,0.85,identity-team
INC023,CONF035,Oauth-Provider Troubleshooting Guide,Steps: 1. Check status 2. Verify memory 3. Review recent changes,0.88,platform-team
INC024,CONF036,Read-Replica Operations Guide,"Monitor configuration, check for disk, review parameters settings",0.94,devops-team
INC024,CONF037,Api-Gateway Incident Response,"Monitor configuration, check for network, review limits settings",0.95,observability-team
INC025,CONF038,Auth Configuration Guide,"Monitor configuration, check for disk, review limits settings",0.85,security-team
INC025,CONF039,Rabbitmq Architecture,Steps: 1. Check health 2. Verify disk 3. Review recent changes,0.91,payments-team
INC026,CONF040,Oauth-Provider SLA Requirements,logs uses disk that can be intensive. Monitor parameters and consider pagination for large batches,0.94,devops-team
INC026,CONF041,Elasticsearch Incident Response,logs uses disk that can be intensive. Monitor parameters and consider pagination for large batches,0.82,payments-team
INC027,CONF042,Reporting Troubleshooting Guide,"Monitor status, check for network, review limits settings",0.87,identity-team
INC027,CONF043,Kubernetes SLA Requirements,"For logs issues, first check the CPU dashboard",0.93,payments-team
INC028,CONF044,Database Service Runbook,"Monitor health, check for CPU, review limits settings",0.86,ops-team
INC029,CONF045,Payment Monitoring Setup,For logs: 1. Check memory status 2. Verify parameters 3. Review logs,0.79,api-team
INC029,CONF046,Payment Operations Guide,"For health issues, first check the disk dashboard",0.88,observability-team
INC030,CONF047,Frontend Troubleshooting Guide,For status: 1. Check disk status 2. Verify limits 3. Review logs,0.76,devops-team
INC030,CONF048,Frontend Monitoring Setup,"Monitor health, check for network, review parameters settings",0.91,observability-team
INC031,CONF049,Frontend Operations Guide,status uses network that can be intensive. Monitor settings and consider pagination for large batches,0.74,devops-team
INC032,CONF050,Email Operations Guide,Steps: 1. Check status 2. Verify network 3. Review recent changes,0.88,security-team
INC033,CONF051,Load-Balancer Architecture,Steps: 1. Check health 2. Verify network 3. Review recent changes,0.91,payments-team
INC034,CONF052,Cdn Troubleshooting Guide,"Monitor configuration, check for CPU, review parameters settings",0.84,identity-team
INC034,CONF053,Product SLA Requirements,"For configuration issues, first check the CPU dashboard",0.85,devops-team
INC035,CONF054,Api-Gateway SLA Requirements,"Monitor status, check for disk, review limits settings",0.82,dba-team
INC036,CONF055,Oauth-Provider SLA Requirements,For status: 1. Check CPU status 2. Verify settings 3. Review logs,0.94,devops-team
INC036,CONF056,Reporting Disaster Recovery,"For logs issues, first check the network dashboard",0.76,platform-team
INC037,CONF057,Frontend Configuration Guide,For logs: 1. Check memory status 2. Verify limits 3. Review logs,0.96,identity-team
INC037,CONF058,Fluentd Monitoring Setup,For configuration: 1. Check disk status 2. Verify limits 3. Review logs,0.77,observability-team
INC038,CONF059,Payment Monitoring Setup,"Monitor logs, check for network, review limits settings",0.73,ops-team
INC038,CONF060,Elasticsearch Disaster Recovery,For health: 1. Check disk status 2. Verify settings 3. Review logs,0.77,payments-team
INC039,CONF061,Session Disaster Recovery,logs uses memory that can be intensive. Monitor limits and consider pagination for large batches,0.75,security-team
INC039,CONF062,Session Monitoring Setup,"For logs issues, first check the CPU dashboard",0.83,search-team
INC040,CONF063,Frontend Architecture,health uses network that can be intensive. Monitor settings and consider pagination for large batches,0.73,ops-team
INC040,CONF064,Load-Balancer Incident Response,Steps: 1. Check health 2. Verify CPU 3. Review recent changes,0.89,search-team
INC041,CONF065,Notification Troubleshooting Guide,For logs: 1. Check memory status 2. Verify settings 3. Review logs,0.94,ops-team
INC042,CONF066,Container-Registry SLA Requirements,Steps: 1. Check health 2. Verify CPU 3. Review recent changes,0.89,search-team
INC043,CONF067,Load-Balancer Performance Tuning,"Monitor configuration, check for disk, review limits settings",0.75,payments-team
INC043,CONF068,Order Troubleshooting Guide,configuration uses disk that can be intensive. Monitor parameters and consider pagination for large batches,0.76,payments-team
INC044,CONF069,Notification Disaster Recovery,"Monitor health, check for memory, review parameters settings",0.75,security-team
INC045,CONF070,Payment Configuration Guide,"Monitor status, check for network, review parameters settings",0.7,dba-team
INC046,CONF071,Search Incident Response,"Monitor configuration, check for network, review limits settings",0.77,payments-team
