id,title,description,severity,status,created_at,updated_at,resolved_at,affected_services,assignee,category
INC001,Memory leak in auth service,Memory leak in auth service affecting production environment with intermittent failures,medium,open,2026-01-17T22:09:56.376226,,,reporting-service|api-gateway|rabbitmq,search-team,Application
INC002,API response latency spike,API response latency spike affecting production environment,medium,open,2026-01-15T13:27:56.376226,,,notification-service|fluentd|container-registry,dba-team,Network
INC003,Log aggregation pipeline broken,Log aggregation pipeline broken affecting production environment,high,open,2026-01-19T00:10:56.376226,,,search-service|cache-service,payments-team,Monitoring
INC004,Redis cache connection failures,Redis cache connection failures affecting production environment with consistent failures,low,open,2026-01-12T21:48:56.376226,,,fulfillment-service|cache-service,ops-team,Cache
INC005,Rate limiting misconfiguration,Rate limiting misconfiguration affecting production environment with consistent failures,low,resolved,2026-01-11T15:05:56.376226,2026-01-12T15:41:56.376226,2026-01-11T20:17:56.376226,fluentd,api-team,Application
INC006,API response latency spike,API response latency spike affecting production environment with consistent failures,low,open,2026-01-19T21:50:56.376226,,,oauth-provider|container-registry,infra-team,Network
INC007,Kubernetes cluster node failure,Kubernetes cluster node failure affecting production environment,medium,resolved,2026-01-11T17:25:56.376226,2026-01-13T14:06:56.376226,2026-01-11T19:53:56.376226,fulfillment-service,observability-team,Infrastructure
INC008,Kubernetes cluster node failure,Kubernetes cluster node failure affecting production environment with intermittent failures,medium,investigating,2026-01-13T03:25:56.376226,,,fluentd|reporting-service|email-service,observability-team,Infrastructure
INC009,Database replica lag critical,Database replica lag critical affecting production environment with intermittent failures,medium,open,2026-01-19T04:51:56.376226,,,api-gateway|notification-service,devops-team,Database
INC010,Database replica lag critical,Database replica lag critical affecting production environment,critical,resolved,2026-01-09T02:34:56.376226,2026-01-09T19:21:56.376226,2026-01-09T16:52:56.376226,reporting-service|cache-service|elasticsearch,devops-team,Database
INC011,Log aggregation pipeline broken,Log aggregation pipeline broken affecting production environment with consistent failures,high,open,2026-01-09T10:57:56.376226,,,logging-service,ops-team,Monitoring
INC012,Memory leak in payment service,Memory leak in payment service affecting production environment with sporadic failures,critical,resolved,2026-01-13T13:55:56.376226,2026-01-15T00:11:56.376226,2026-01-13T17:28:56.376226,kubernetes|auth-service|ci-cd,api-team,Application
INC013,Network latency to logging region,Network latency to logging region affecting production environment,high,open,2026-01-11T07:36:56.376226,,,auth-service|elasticsearch,security-team,Network
INC014,Disk space critical on logging nodes,Disk space critical on logging nodes affecting production environment,low,resolved,2026-01-11T14:58:56.376226,2026-01-13T06:10:56.376226,2026-01-11T16:30:56.376226,product-service,payments-team,Storage
INC015,Network latency to logging region,Network latency to logging region affecting production environment with intermittent failures,high,investigating,2026-01-06T22:25:56.376226,,,load-balancer|rate-limiter,security-team,Network
INC016,Elasticsearch indexing delays,Elasticsearch indexing delays affecting production environment,low,open,2026-01-18T10:18:56.376226,,,logging-service,dba-team,Monitoring
INC017,SSL certificate expiration warning,SSL certificate expiration warning affecting production environment,critical,resolved,2026-01-15T13:53:56.376226,2026-01-16T04:52:56.376226,2026-01-15T21:03:56.376226,logging-service|elasticsearch|fluentd,platform-team,Security
INC018,Third-party OAuth provider timeout,Third-party OAuth provider timeout affecting production environment,high,investigating,2026-01-21T10:54:56.376226,,,email-service,platform-team,Security
INC019,Payment service 500 errors,Payment service 500 errors affecting production environment,medium,resolved,2026-01-09T18:30:56.376226,2026-01-11T17:10:56.376226,2026-01-09T19:46:56.376226,email-service,api-team,Payments
INC020,API response latency spike,API response latency spike affecting production environment with intermittent failures,medium,investigating,2026-01-17T09:39:56.376226,,,payment-service|elasticsearch|rabbitmq,devops-team,Network
INC021,Load balancer health check failing,Load balancer health check failing affecting production environment,critical,investigating,2026-01-08T15:53:56.376226,,,frontend|oauth-provider,ops-team,Infrastructure
INC022,Memory leak in user service,Memory leak in user service affecting production environment,high,open,2026-01-10T00:38:56.376226,,,oauth-provider|payment-service|frontend,payments-team,Application
INC023,CDN cache invalidation stuck,CDN cache invalidation stuck affecting production environment,low,investigating,2026-01-19T11:32:56.376226,,,container-registry,dba-team,Cache
INC024,Database connection timeout,Database connection timeout affecting production environment with intermittent failures,medium,investigating,2026-01-14T09:39:56.376226,,,user-service|checkout-service,search-team,Database
INC025,Database connection timeout,Database connection timeout affecting production environment with consistent failures,critical,resolved,2026-01-19T12:08:56.376226,2026-01-21T10:39:56.376226,2026-01-20T11:19:56.376226,notification-service,security-team,Database
INC026,Redis cache connection failures,Redis cache connection failures affecting production environment with sporadic failures,low,resolved,2026-01-11T19:29:56.376226,2026-01-13T09:59:56.376226,2026-01-11T22:25:56.376226,kubernetes|read-replica|checkout-service,ops-team,Cache
INC027,Disk space critical on api-gateway nodes,Disk space critical on api-gateway nodes affecting production environment with intermittent failures,low,resolved,2026-01-20T01:51:56.376226,2026-01-20T10:47:56.376226,2026-01-20T15:09:56.376226,email-service|rabbitmq|fulfillment-service,ops-team,Storage
INC028,Certificate authority unreachable,Certificate authority unreachable affecting production environment,high,investigating,2026-01-10T16:11:56.376226,,,email-service|cache-service,search-team,Security
INC029,SSL certificate expiration warning,SSL certificate expiration warning affecting production environment with consistent failures,critical,resolved,2026-01-07T09:05:56.376226,2026-01-08T22:11:56.376226,2026-01-08T03:26:56.376226,reporting-service,platform-team,Security
INC030,Disk space critical on cache nodes,Disk space critical on cache nodes affecting production environment,high,open,2026-01-21T01:49:56.376226,,,checkout-service|oauth-provider,dba-team,Storage
INC031,Third-party OAuth provider timeout,Third-party OAuth provider timeout affecting production environment with sporadic failures,low,resolved,2026-01-20T11:45:56.376226,2026-01-22T06:51:56.376226,2026-01-21T16:23:56.376226,cache-service,api-team,Security
INC032,Memory leak in elasticsearch service,Memory leak in elasticsearch service affecting production environment with consistent failures,high,resolved,2026-01-10T16:47:56.376226,2026-01-11T07:30:56.376226,2026-01-12T09:56:56.376226,kubernetes|cache-service|read-replica,identity-team,Application
INC033,CDN cache invalidation stuck,CDN cache invalidation stuck affecting production environment with intermittent failures,low,resolved,2026-01-13T02:28:56.376226,2026-01-13T03:49:56.376226,2026-01-13T05:01:56.376226,container-registry,security-team,Cache
INC034,Kubernetes cluster node failure,Kubernetes cluster node failure affecting production environment with sporadic failures,critical,resolved,2026-01-08T17:23:56.376226,2026-01-09T03:57:56.376226,2026-01-09T11:19:56.376226,load-balancer,infra-team,Infrastructure
INC035,Service mesh configuration error,Service mesh configuration error affecting production environment with consistent failures,medium,open,2026-01-11T06:23:56.376226,,,product-service,platform-team,Infrastructure
INC036,Elasticsearch indexing delays,Elasticsearch indexing delays affecting production environment with consistent failures,critical,resolved,2026-01-10T00:17:56.376226,2026-01-10T13:13:56.376226,2026-01-10T17:59:56.376226,auth-service|checkout-service,infra-team,Monitoring
INC037,Log aggregation pipeline broken,Log aggregation pipeline broken affecting production environment with sporadic failures,medium,investigating,2026-01-09T16:32:56.376226,,,kubernetes|user-service,identity-team,Monitoring
INC038,Elasticsearch indexing delays,Elasticsearch indexing delays affecting production environment,critical,resolved,2026-01-10T01:27:56.376226,2026-01-11T20:39:56.376226,2026-01-10T07:20:56.376226,search-service|cache-service,api-team,Monitoring
INC039,CDN cache invalidation stuck,CDN cache invalidation stuck affecting production environment,critical,resolved,2026-01-06T22:22:56.376226,2026-01-07T15:33:56.376226,2026-01-07T00:28:56.376226,cache-service|user-service|order-service,devops-team,Cache
INC040,Log aggregation pipeline broken,Log aggregation pipeline broken affecting production environment,high,investigating,2026-01-16T10:33:56.376226,,,rabbitmq|notification-service,security-team,Monitoring
INC041,API response latency spike,API response latency spike affecting production environment with intermittent failures,medium,investigating,2026-01-12T21:08:56.376226,,,fulfillment-service|search-service,observability-team,Network
INC042,Memory leak in elasticsearch service,Memory leak in elasticsearch service affecting production environment with sporadic failures,high,resolved,2026-01-13T04:51:56.376226,2026-01-15T02:09:56.376226,2026-01-13T06:26:56.376226,payment-service|notification-service|frontend,observability-team,Application
