incident_id,ticket_id,type,resolution,description,source,similarity_score,resolved_by_team
INC001,SNOW001,similar_incident,Restarted 5 pods and cleared corrupted cache layer,,servicenow,0.8,payments-team
INC002,JIRA-001,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 7 to 85 consumers. Backlog cleared in 6 hours.,,jira,0.76,devops-team
INC002,JIRA-002,related_change,,Payment provider SDK upgrade deployed yesterday,jira,,payments-team
INC002,SNOW002,similar_incident,Manually purged CDN cache and verified asset propagation,,servicenow,0.85,ops-team
INC003,SNOW003,similar_incident,Increased connection pool size from 17 to 76 connections and added exponential backoff retry logic with max 3 attempts. Monitored for 24 hours and confirmed resolution.,,servicenow,0.68,devops-team
INC003,SNOW004,related_change,,Deployed new read-replica version with performance improvements,servicenow,,dba-team
INC003,JIRA-003,related_change,,Payment provider SDK upgrade deployed yesterday,jira,,observability-team
INC004,SNOW005,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 13 to 53 consumers. Backlog cleared in 5 hours.,,servicenow,0.81,identity-team
INC004,SNOW006,similar_incident,Manually purged CDN cache and verified asset propagation,,servicenow,0.67,security-team
INC005,SNOW007,similar_incident,Implemented 20 for automatic failover. Configured 84-node cluster with quorum of 4. Tested failover scenarios successfully.,,servicenow,0.84,ops-team
INC005,SNOW008,similar_incident,Scaled up 13 instances from 52 to 10 pods and optimized query performance by adding database indexes on frequently queried columns. Response times improved from 1s to databasems average.,,servicenow,0.89,devops-team
INC005,SNOW009,similar_incident,Renewed SSL certificates and updated load balancer configuration,,servicenow,0.94,identity-team
INC006,SNOW010,similar_incident,Promoted replica to primary and rebuilt read replica from backup. Verified data consistency using checksums. Recovery completed within RTO of 10 minutes.,,servicenow,0.93,dba-team
INC007,SNOW011,similar_incident,Fixed 6 timeout by increasing connection timeout to 90s and implementing circuit breaker pattern. Also added health check monitoring.,,servicenow,0.91,ops-team
INC007,JIRA-004,related_change,,Added new notification templates last sprint,jira,,search-team
INC008,SNOW012,similar_incident,Scaled up 12 instances from 50 to 2 pods and optimized query performance by adding database indexes on frequently queried columns. Response times improved from 1s to databasems average.,,servicenow,0.65,devops-team
INC008,JIRA-005,related_change,,Heavy batch job scheduled during peak hours,jira,,observability-team
INC009,JIRA-006,similar_incident,Renewed SSL certificates and updated load balancer configuration,,jira,0.79,infra-team
INC009,JIRA-007,related_change,,Registry storage migration performed,jira,,dba-team
INC010,JIRA-008,similar_incident,Fixed 20 timeout by increasing connection timeout to 46s and implementing circuit breaker pattern. Also added health check monitoring.,,jira,0.96,observability-team
INC010,JIRA-009,similar_incident,Manually purged CDN cache and verified asset propagation,,jira,0.93,search-team
INC011,JIRA-010,similar_incident,Implemented 16 for automatic failover. Configured 33-node cluster with quorum of 7. Tested failover scenarios successfully.,,jira,0.72,security-team
INC011,SNOW013,related_change,,Fluentd configuration update for new log format,servicenow,,search-team
INC012,SNOW014,similar_incident,Implemented 17 for automatic failover. Configured 61-node cluster with quorum of 4. Tested failover scenarios successfully.,,servicenow,0.73,ops-team
INC012,JIRA-011,related_change,,New order notification feature deployed,jira,,api-team
INC012,JIRA-012,related_change,,Rate limiting threshold adjustment for new API tier,jira,,infra-team
INC013,JIRA-013,similar_incident,Fixed 18 timeout by increasing connection timeout to 36s and implementing circuit breaker pattern. Also added health check monitoring.,,jira,0.77,observability-team
INC014,JIRA-014,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 18 to 39 consumers. Backlog cleared in 6 hours.,,jira,0.8,ops-team
INC014,JIRA-015,similar_incident,Promoted replica to primary and rebuilt read replica from backup. Verified data consistency using checksums. Recovery completed within RTO of 15 minutes.,,jira,0.96,identity-team
INC015,JIRA-016,similar_incident,Increased connection pool size from 5 to 95 connections and added exponential backoff retry logic with max 3 attempts. Monitored for 24 hours and confirmed resolution.,,jira,0.79,infra-team
INC016,JIRA-017,similar_incident,Promoted replica to primary and rebuilt read replica from backup. Verified data consistency using checksums. Recovery completed within RTO of 15 minutes.,,jira,0.69,platform-team
INC016,JIRA-018,related_change,,Redis cluster scaling performed last week,jira,,ops-team
INC017,SNOW015,similar_incident,Renewed SSL certificates and updated load balancer configuration,,servicenow,0.88,search-team
INC017,SNOW016,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 15 to 86 consumers. Backlog cleared in 6 hours.,,servicenow,0.68,ops-team
INC017,JIRA-019,related_change,,Redis cluster scaling performed last week,jira,,platform-team
INC018,SNOW017,similar_incident,Increased connection pool size from 14 to 31 connections and added exponential backoff retry logic with max 3 attempts. Monitored for 24 hours and confirmed resolution.,,servicenow,0.71,devops-team
INC019,JIRA-020,similar_incident,Renewed SSL certificates and updated load balancer configuration,,jira,0.83,security-team
INC020,SNOW018,similar_incident,Scaled up 10 instances from 34 to 6 pods and optimized query performance by adding database indexes on frequently queried columns. Response times improved from 4s to Redisms average.,,servicenow,0.8,devops-team
INC021,JIRA-021,similar_incident,Scaled up 7 instances from 88 to 7 pods and optimized query performance by adding database indexes on frequently queried columns. Response times improved from 5s to gatewayms average.,,jira,0.95,security-team
INC022,JIRA-022,similar_incident,Promoted replica to primary and rebuilt read replica from backup. Verified data consistency using checksums. Recovery completed within RTO of 9 minutes.,,jira,0.9,identity-team
INC022,JIRA-023,related_change,,Automated certificate rotation implementation in progress,jira,,devops-team
INC023,JIRA-024,similar_incident,Restarted 17 pods and cleared corrupted cache layer,,jira,0.82,dba-team
INC023,SNOW019,similar_incident,Restarted 9 pods and cleared corrupted cache layer,,servicenow,0.88,devops-team
INC024,JIRA-025,similar_incident,Implemented 7 for automatic failover. Configured 61-node cluster with quorum of 4. Tested failover scenarios successfully.,,jira,0.89,security-team
INC024,SNOW020,related_change,,Redis cluster scaling performed last week,servicenow,,observability-team
INC025,SNOW021,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 20 to 33 consumers. Backlog cleared in 7 hours.,,servicenow,0.72,api-team
INC025,JIRA-026,related_change,,Added backup OAuth provider configuration,jira,,search-team
INC026,JIRA-027,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 12 to 66 consumers. Backlog cleared in 5 hours.,,jira,0.7,ops-team
INC027,JIRA-028,similar_incident,Scaled up 8 instances from 40 to 3 pods and optimized query performance by adding database indexes on frequently queried columns. Response times improved from 1s to servicems average.,,jira,0.78,identity-team
INC027,SNOW022,similar_incident,Increased connection pool size from 5 to 90 connections and added exponential backoff retry logic with max 3 attempts. Monitored for 24 hours and confirmed resolution.,,servicenow,0.95,payments-team
INC028,JIRA-029,similar_incident,Manually purged CDN cache and verified asset propagation,,jira,0.68,identity-team
INC028,SNOW023,related_change,,Node capacity upgrade scheduled for maintenance window,servicenow,,identity-team
INC029,SNOW024,similar_incident,Manually purged CDN cache and verified asset propagation,,servicenow,0.68,security-team
INC030,SNOW025,similar_incident,Rolled back to previous 10 version to restore functionality,,servicenow,0.74,identity-team
INC031,SNOW026,similar_incident,Manually purged CDN cache and verified asset propagation,,servicenow,0.74,platform-team
INC031,SNOW027,related_change,,Added backup OAuth provider configuration,servicenow,,security-team
INC031,JIRA-030,similar_incident,Renewed SSL certificates and updated load balancer configuration,,jira,0.68,identity-team
INC032,SNOW028,similar_incident,Implemented 6 for automatic failover. Configured 80-node cluster with quorum of 7. Tested failover scenarios successfully.,,servicenow,0.76,identity-team
INC032,JIRA-031,related_change,,Heavy batch job scheduled during peak hours,jira,,dba-team
INC032,JIRA-032,related_change,,Registry storage migration performed,jira,,identity-team
INC033,JIRA-033,similar_incident,Promoted replica to primary and rebuilt read replica from backup. Verified data consistency using checksums. Recovery completed within RTO of 11 minutes.,,jira,0.67,security-team
